6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
80	40.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.004	-5.82335151237e-22	2.44845461316e-20	1.21760986168e-20	0.998049049026	-8.47032947254e-22	-1.06408513999e-20	-4.48927462045e-20	0.998445405508	244.424587161	3.87442627292	1.77530069812	3.85146158715	9.88578905653e-07	-4.43722910327	1.7654789066	-4.43899121388	3.93392421329e-05	245.283696381	3.86499881755	1.7716842561	3.86499879385	9.8617344408e-07	-4.42819008142	1.77168425289	-4.42819002975	3.92591046731e-05	0.00399202126954	0.0	0.0	0.0	-0.00195285655772	0.0	0.0	0.0	-0.00155580412784	245.51403154	0.00383775367321
90	45.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0045	6.04834463899e-21	2.76609196838e-20	-3.57871420215e-20	0.997774683166	-8.89384594617e-21	2.90638180027e-20	-1.52465930506e-20	0.998228717827	247.311028558	3.9812580612	1.60949832708	3.95460279943	1.6361650774e-05	-4.46056256156	1.59944988611	-4.46259235241	6.97494519031e-06	248.302415019	3.9704554562	1.60586158175	3.97045546761	1.63172556487e-05	-4.45048368805	1.60586154098	-4.45048371195	6.95918493824e-06	0.00448990527285	0.0	0.0	0.0	-0.00222779653093	0.0	0.0	0.0	-0.00177285274816	248.532762154	0.00433478512603
100	50.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.005	1.92269861582e-20	-6.13040095575e-20	-2.47757137072e-20	0.997500328238	-2.54109884176e-20	4.02340649946e-21	1.01643953671e-20	0.998012189512	250.092868888	4.07212131045	1.486936915	4.04173369751	-1.17243820387e-05	-4.44664915482	1.47659812523	-4.44893097137	-2.26545019521e-05	251.218961242	4.05993237661	1.48324684917	4.05993239879	-1.16892878688e-05	-4.43561410153	1.48324679885	-4.43561414676	-2.25982812727e-05	0.00498754151104	0.0	0.0	0.0	-0.00250280115752	0.0	0.0	0.0	-0.00198978880538	251.44790382	0.00483164460867
110	55.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0055	-3.09365549095e-20	-6.86096687276e-20	-1.54583512874e-20	0.997225807499	1.35525271561e-20	1.84229666028e-20	-1.35525271561e-20	0.997796029686	252.786671058	4.14736635114	1.40759507989	4.11323794457	-7.49245145798e-06	-4.4216957968	1.3968102905	-4.42422417361	-4.57925277209e-06	254.0498191	4.13379136124	1.40379003759	4.133791356	-7.46792747234e-06	-4.40974297046	1.40379000258	-4.40974298401	-4.56687403423e-06	0.00548493023057	0.0	0.0	0.0	-0.00277804770472	0.0	0.0	0.0	-0.00220640263107	254.277068793	0.00532833481676
120	60.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.006	5.98217018998e-21	-6.81332126948e-20	-1.16467030247e-20	0.996951010255	-2.13452302708e-19	5.08219768353e-21	-6.60685698858e-20	0.997580403513	255.420596382	4.20656273335	1.36235133188	4.16872460831	-5.1083971653e-06	-4.39625487021	1.35094927227	-4.39903029947	-1.75282170389e-07	256.823161318	4.19161590914	1.35836762498	4.19161589839	-5.09024592894e-06	-4.38339960267	1.35836760151	-4.38339959651	-1.74769620671e-07	0.00598207167755	0.0	0.0	0.0	-0.00305364738404	0.0	0.0	0.0	-0.00242252844097	257.048681259	0.00582484779453
130	65.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0065	3.52048068703e-20	2.23404939838e-20	3.04931861012e-20	0.996676037796	5.75982404133e-20	1.50348348138e-20	5.92923063078e-20	0.997365233668	258.007055084	4.25606778284	1.34106828825	4.21452637518	7.93115232858e-06	-4.37431362115	1.32889701908	-4.37733843166	-6.87399182574e-06	259.551378172	4.23975275766	1.33685128173	4.23975277988	7.9007493941e-06	-4.36055853559	1.33685124478	-4.36055853285	-6.85237646984e-06	0.00647896609771	0.0	0.0	0.0	-0.00332949883881	0.0	0.0	0.0	-0.00263824343773	259.775381966	0.00632116951474
140	70.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.007	4.12399166194e-20	-9.6826453783e-20	-3.95987902841e-20	0.996400973687	4.48927462045e-20	2.64697796017e-21	6.43745039913e-20	0.997150451921	260.55420854	4.3038053518	1.33851798806	4.25850633364	9.72784545308e-06	-4.36024458274	1.32542579201	-4.36352428258	2.13435638101e-06	262.242610065	4.2861015874	1.33401464742	4.28610162227	9.68782982274e-06	-4.3455748758	1.3340146033	-4.34557486351	2.12717550342e-06	0.00697561373643	0.0	0.0	0.0	-0.00360551838965	0.0	0.0	0.0	-0.00285361577035	262.465781168	0.00681728957733
150	75.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0075	-2.54109884176e-20	-8.87796407841e-20	-9.74087889342e-21	0.99612596888	1.4484263398e-19	-8.08916464628e-20	4.23516473627e-20	0.996935922587	263.070338588	4.35463624274	1.34793702839	4.30547520077	8.09234251084e-06	-4.36069648003	1.33380327452	-4.36424215379	5.00859724605e-06	264.905134651	4.33550391539	1.34310599212	4.33550393374	8.056788371e-06	-4.34506764692	1.34310594623	-4.34506762236	4.99064632219e-06	0.0074720148387	0.0	0.0	0.0	-0.00388155461568	0.0	0.0	0.0	-0.00306878130939	265.128586407	0.0073131923906
160	80.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.008	3.39871970086e-20	-8.76149704816e-20	-2.37169225231e-20	0.995851010692	8.38562617782e-20	-4.12928561786e-20	9.14795583035e-20	0.996721667271	265.560281428	4.40998438815	1.36289617897	4.35683275286	6.0473795496e-06	-4.37618303074	1.34764693235	-4.3800090152	2.94186623925e-06	267.543776144	4.38937434162	1.35771267801	4.38937434642	6.01911714254e-06	-4.3595391005	1.35771263403	-4.35953905847	2.93067744387e-06	0.00796816964918	0.0	0.0	0.0	-0.00415762024552	0.0	0.0	0.0	-0.00328371823528	267.768587542	0.00780887623525
170	85.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0085	3.39871970086e-20	-3.08108234564e-20	8.47032947254e-21	0.99557597896	-6.77626357803e-20	1.02067470144e-19	1.0503208546e-19	0.9965078096	268.025920829	4.46809900548	1.38052486562	4.41083991129	5.02411370484e-06	-4.40310942857	1.3641088403	-4.40723055548	1.988146809e-06	270.160393779	4.44596642451	1.37497221251	4.44596643357	4.99922692341e-06	-4.38539954166	1.37497216804	-4.38539948437	1.98015022029e-06	0.00846407841213	0.0	0.0	0.0	-0.00443383597944	0.0	0.0	0.0	-0.00349830233039	270.387320646	0.00830434922047
180	90.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.009	3.4093076127e-20	-6.70744215107e-20	-3.09167025748e-20	0.995300797846	2.20228566286e-20	-3.38813178902e-21	3.04931861012e-20	0.996294427672	270.468540451	4.52599274698	1.40025873773	4.46454331624	4.49742710118e-06	-4.43747790286	1.38262629344	-4.44190787861	3.20370962317e-06	272.756245616	4.50230576731	1.39432101468	4.50230578128	4.47388962106e-06	-4.41866101273	1.39432096709	-4.41866096076	3.19012446211e-06	0.00895974137147	0.0	0.0	0.0	-0.00471027811686	0.0	0.0	0.0	-0.00371245496915	272.985687888	0.00879961670808
